date,temperature,humidity,luminosity
2022-11-10 16:31:42.912,22.2,38.1,164
2022-11-10 16:31:41.913,22.2,38.1,163
2022-11-10 16:31:40.902,22.2,38.0,164
2022-11-10 16:31:39.897,22.2,38.0,164
2022-11-10 16:31:38.889,22.2,38.0,163
2022-11-10 16:31:37.885,22.2,38.0,164
2022-11-10 16:31:36.878,22.2,38.0,164
2022-11-10 16:31:35.875,22.2,38.0,163
2022-11-10 16:31:34.862,22.2,38.0,164
2022-11-10 16:31:33.860,22.2,38.0,165
2022-11-10 16:31:32.852,22.2,38.0,164
2022-11-10 16:31:31.848,22.2,38.0,164
2022-11-10 16:31:30.840,22.3,38.1,164
2022-11-10 16:31:29.837,22.3,38.1,163
2022-11-10 16:31:28.828,22.2,38.0,163
2022-11-10 16:31:27.825,22.2,38.0,164
2022-11-10 16:31:26.814,22.3,38.1,165
2022-11-10 16:31:25.811,22.3,38.1,164
2022-11-10 16:31:24.802,22.3,38.1,164
2022-11-10 16:31:23.799,22.3,38.1,164
2022-11-10 16:31:22.791,22.3,38.1,164
2022-11-10 16:31:21.788,22.3,38.1,164
2022-11-10 16:31:20.775,22.3,38.1,164
2022-11-10 16:31:19.776,22.3,38.1,164
2022-11-10 16:31:18.764,22.3,38.1,164
2022-11-10 16:31:17.761,22.3,38.1,164
2022-11-10 16:31:16.753,22.3,38.1,164
2022-11-10 16:31:15.750,22.3,38.1,163
2022-11-10 16:31:14.742,22.3,38.2,164
2022-11-10 16:31:13.738,22.3,38.2,164
2022-11-10 16:31:12.726,22.3,38.2,164
2022-11-10 16:31:11.722,22.3,38.2,164
2022-11-10 16:31:10.714,22.3,38.3,166
2022-11-10 16:31:09.711,22.3,38.3,166
2022-11-10 16:31:08.703,22.3,38.3,164
2022-11-10 16:31:07.699,22.3,38.3,165
2022-11-10 16:31:06.688,22.3,38.4,164
2022-11-10 16:31:05.688,22.3,38.4,163
2022-11-10 16:31:04.676,22.3,38.4,164
2022-11-10 16:31:03.673,22.3,38.4,164
2022-11-10 16:31:02.665,22.3,38.5,166
2022-11-10 16:31:01.661,22.3,38.5,166
2022-11-10 16:31:00.654,22.3,38.5,166
2022-11-10 16:30:59.650,22.3,38.5,165
2022-11-10 16:30:58.642,22.3,38.5,165
2022-11-10 16:30:57.639,22.3,38.5,166
2022-11-10 16:30:56.627,22.3,38.6,165
2022-11-10 16:30:55.628,22.3,38.6,166
2022-11-10 16:30:54.616,22.3,38.6,166
2022-11-10 16:30:53.612,22.3,38.6,165
2022-11-10 16:30:52.604,22.3,38.6,169
2022-11-10 16:30:51.600,22.3,38.6,168
2022-11-10 16:30:50.593,22.3,38.6,167
2022-11-10 16:30:49.589,22.3,38.6,170
2022-11-10 16:30:48.582,22.3,38.5,170
2022-11-10 16:30:47.578,22.3,38.5,168
2022-11-10 16:30:46.566,22.3,38.5,169
