date,temperature,humidity,luminosity
2022-11-10 15:43:33.386,23.4,38.7,178
2022-11-10 15:43:32.382,23.4,38.7,172
2022-11-10 15:43:31.376,23.4,38.7,174
2022-11-10 15:43:30.372,23.4,38.7,180
2022-11-10 15:43:29.365,23.4,38.7,180
2022-11-10 15:43:28.360,23.4,38.7,163
2022-11-10 15:43:27.352,23.4,38.7,160
2022-11-10 15:43:26.349,23.4,38.7,159
2022-11-10 15:43:25.337,23.4,38.7,157
2022-11-10 15:43:24.337,23.4,38.7,181
2022-11-10 15:43:23.326,23.4,38.7,178
2022-11-10 15:43:22.322,23.4,38.7,177
2022-11-10 15:43:21.315,23.4,38.7,175
2022-11-10 15:43:20.311,23.4,38.7,168
2022-11-10 15:43:19.303,23.4,38.7,161
2022-11-10 15:43:18.300,23.4,38.7,153
2022-11-10 15:43:17.287,23.4,38.8,164
2022-11-10 15:43:16.288,23.4,38.8,176
2022-11-10 15:43:15.277,23.4,38.8,175
2022-11-10 15:43:14.274,23.4,38.8,178
2022-11-10 15:43:13.265,23.4,38.8,179
2022-11-10 15:43:12.261,23.4,38.8,178
2022-11-10 15:43:11.254,23.4,38.8,178
2022-11-10 15:43:10.250,23.4,38.8,178
2022-11-10 15:43:09.242,23.4,38.8,180
2022-11-10 15:43:08.239,23.4,38.8,178
2022-11-10 15:43:07.226,23.4,38.7,180
2022-11-10 15:43:06.227,23.4,38.7,180
2022-11-10 15:43:05.216,23.4,38.8,176
2022-11-10 15:43:04.213,23.4,38.8,187
2022-11-10 15:43:03.204,23.4,38.7,189
2022-11-10 15:43:02.200,23.4,38.7,186
2022-11-10 15:43:01.193,23.4,38.8,184
2022-11-10 15:43:00.189,23.4,38.8,183
2022-11-10 15:42:59.178,23.4,38.8,178
2022-11-10 15:42:58.178,23.4,38.8,173
2022-11-10 15:42:57.167,23.4,38.8,174
2022-11-10 15:42:56.163,23.4,38.8,171
2022-11-10 15:42:55.154,23.4,38.8,150
2022-11-10 15:42:54.152,23.4,38.8,151
2022-11-10 15:42:53.143,23.4,38.8,151
2022-11-10 15:42:52.139,23.4,38.8,150
2022-11-10 15:42:51.132,23.4,38.8,152
2022-11-10 15:42:50.129,23.4,38.8,179
2022-11-10 15:42:49.116,23.4,38.8,179
2022-11-10 15:42:48.114,23.4,38.8,179
2022-11-10 15:42:47.106,23.4,38.8,179
2022-11-10 15:42:46.102,23.4,38.8,179
